feature,score,p_value
glcm_homogeneity,88.34013189504589,6.060614491429293e-17
hsv_v_mean,62.17610541632341,4.840793180169099e-13
rgb_r_mean,51.64735922157663,2.4799791187444568e-11
hsv_s_mean,48.57212087605939,8.14866049278337e-11
lbp_bin_2,32.869440140870715,4.868916414489892e-08
glcm_correlation,24.404844701464228,1.9708346073089554e-06
rgb_g_mean,18.776546747809444,2.604661195763214e-05
glcm_energy,17.0418523273842,5.9038247924651654e-05
lbp_bin_5,13.502297897253957,0.0003258545317180556
rgb_g_std,13.500964563580878,0.00032606777765092844
lbp_bin_3,12.998069165330028,0.00041758088159674496
lbp_bin_1,12.55825718318928,0.0005189801032379362
lbp_bin_0,11.952912761365097,0.0007011542356978278
rgb_b_std,11.060463877283947,0.0010966022125995076
lbp_bin_4,9.47839465957383,0.002452051977836593
hsv_v_std,8.289275902745333,0.004540998392550478
glcm_contrast,8.247794421797536,0.004640587079706107
lbp_bin_7,7.204989035650625,0.008045300578314367
lbp_bin_8,7.006911654598101,0.008941849027935293
rgb_r_std,5.832150834568936,0.016877679821082934
hsv_h_std,5.255072500712083,0.023202470263648984
shape_circularity,4.442603224495476,0.03663110314711269
rgb_b_mean,4.077179960549898,0.0451568881543149
hu_4,2.604180331183692,0.10857767079831454
lbp_bin_9,2.558020056431925,0.11173370321755653
hu_3,2.292937758723646,0.13196160201362958
shape_perimeter,1.901930298125418,0.16981148878152694
hu_5,1.7019696520776955,0.19392764418387423
shape_extent,1.5669966192123572,0.21249373585156076
hsv_s_std,1.544935284292229,0.21572604979880344
shape_solidity,1.1982946373461592,0.2753287345023594
hu_2,0.6859175057082542,0.40880573185676916
shape_eccentricity,0.5319232790959325,0.4668791839045775
hu_1,0.42459328618106174,0.5156006189694141
hu_7,0.2656341193245,0.6069959668458625
hu_6,0.04426622576218431,0.833630161913689
hsv_h_mean,0.027294184939536677,0.8689902635047274
shape_area,0.006341799057384698,0.9366280031631417
lbp_bin_6,3.007671058589724e-07,0.9995631140907533
