feature,importance_mean,importance_std
hsv_s_mean,0.043866231678216926,0.021077318444529907
lbp_bin_2,0.02492768350003094,0.011174317797484066
rgb_r_mean,0.011268272670978786,0.016217203980250207
lbp_bin_6,0.0111669279058906,0.0037587904360056215
rgb_b_std,0.01005325730716955,0.005027656269198595
hsv_v_std,0.008698984685400268,0.00796291926523596
glcm_homogeneity,0.007993874584286654,0.030286894375274768
lbp_bin_9,0.006209929025612904,0.006209929025612904
hsv_h_std,0.004973027270032526,0.008250669993959743
hsv_h_mean,0.004967943220490323,0.006084462980660137
lbp_bin_0,0.00491322151942718,0.012750191874446879
lbp_bin_3,0.003687258973098251,0.011238630651315135
glcm_energy,0.002412440147337791,0.010893169242378788
shape_solidity,0.0012419858051225807,0.003725957415367742
hu_3,0.0012419858051225807,0.003725957415367742
hu_7,0.0012419858051225807,0.0037259574153677417
hu_5,0.0,0.0
lbp_bin_4,0.0,0.0
shape_extent,0.0,0.0
shape_circularity,0.0,0.0
shape_eccentricity,0.0,0.0
hu_1,0.0,0.0
hu_2,0.0,0.0
hu_6,0.0,0.0
rgb_g_mean,0.0,0.0
lbp_bin_8,-6.0201567611228854e-05,0.009684054992136386
rgb_r_std,-0.0012544796732489095,0.0067093469893513644
shape_area,-0.0012584048809221148,0.003775214642766345
lbp_bin_1,-0.0013076621083207174,0.010387935107006871
lbp_bin_5,-0.0025168097618442297,0.005033619523688459
hsv_v_mean,-0.003680845717124748,0.012569661842761553
glcm_correlation,-0.0038311142659192,0.012550790147768309
rgb_g_std,-0.00501327524021572,0.006140235917720517
lbp_bin_7,-0.0075504292855326895,0.006164899696174014
rgb_b_mean,-0.007556268293558266,0.02108028568826655
shape_perimeter,-0.008666424182145627,0.005673506402754013
glcm_contrast,-0.01006291802269783,0.007503037643686219
hu_4,-0.014845643810798403,0.009252950921399503
hsv_s_std,-0.015064891266136471,0.010893632492918786
